"Lang","Name","Value"
"es","free_play","FreePlay"
"fr","free_play","FreePlay"
"it","free_play","FreePlay"
"pt","free_play","FreePlay"
"se","free_play","FreePlay"
"de","full_screen","Full Screen"
"en","full_screen","Full Screen"
"es","full_screen","Pantalla Completa"
"fr","full_screen","Full Screen"
"it","full_screen","Full Screen"
"pt","full_screen","Full Screen"
"se","full_screen","Fullskärm"
"de","game_in_use_info","Das Game wird gerade abgespielt!"
"en","game_in_use_info","The game is in use!"
"es","game_in_use_info","El juego está en uso!"
"fr","game_in_use_info","Le jeu est en cours!"
"it","game_in_use_info","Il gioco è in uso!"
"pt","game_in_use_info","O jogo está em uso!"
"se","game_in_use_info","Spelet körs!"
"de","game_plays","Game Plays"
"en","game_plays","Game Plays"
"es","game_plays","Partidas Jugadas"
"fr","game_plays","Parties jouées"
"it","game_plays","Sessioni Gioco"
"pt","game_plays","Partidas jogadas"
"se","game_plays","Antal Spelningar"
"de","game_time","Zeit gespielt"
"en","game_time","Time Played"
"es","game_time","Tiempo Jugado"
"fr","game_time","Temps joué"
"it","game_time","Tempo di Gioco"
"pt","game_time","Tempo Jogado"
"se","game_time","Speltid"
"de","generic_15","Generic 15kHz"
"en","generic_15","Generic 15kHz"
"es","generic_15","Generic 15kHz"
"fr","generic_15","Generic 15kHz"
"it","generic_15","Generic 15kHz"
"pt","generic_15","Generic 15kHz"
"se","generic_15","Generisk 15kHz"
"de","genre","Genre"
"en","genre","Genre"
"es","genre","Género"
"fr","genre","Genre"
"it","genre","Genre"
"pt","genre","Genre"
"se","genre","Genre"
"de","gun_style_msg","Not Allowed for LGun"
"en","gun_style_msg","Not Allowed for LGun"
"es","gun_style_msg","No Permitido Para LGun"
"fr","gun_style_msg","Not Allowed for LGun"
"it","gun_style_msg","Not Allowed for LGun"
"pt","gun_style_msg","Not Allowed for LGun"
"se","gun_style_msg","Fungerar Inte Med Ljuspistol"
"de","gun_tester","Gun Tester"
"en","gun_tester","Gun Tester"
"es","gun_tester","Gun Tester"
"fr","gun_tester","Gun Tester"
"it","gun_tester","Gun Tester"
"pt","gun_tester","Gun Tester"
"se","gun_tester","Pistoltestare"
"de","handheld_mode","Screen Mode"
"en","handheld_mode","Screen Mode"
"es","handheld_mode","Modo de Imagen"
"fr","handheld_mode","Screen Mode"
"it","handheld_mode","Screen Mode"
"pt","handheld_mode","Screen Mode"
"se","handheld_mode","Skärmläge"
"de","help","Hilfe"
"en","help","Help"
"es","help","Ayuda"
"fr","help","Aide"
"it","help","Aiuto"
"pt","help","Ajuda"
"se","help","Hjälp"
"de","hotkeys","Hotkeys"
"en","hotkeys","Hotkeys"
"es","hotkeys","Hotkeys"
"fr","hotkeys","Hotkeys"
"it","hotkeys","Hotkeys"
"pt","hotkeys","Hotkeys"
"se","hotkeys","Snabbtangenter"
"de","image_adjustment","Einstellungen"
"en","image_adjustment","Adjustment"
"es","image_adjustment","Ajuste"
"fr","image_adjustment","Ajustement"
"it","image_adjustment","Calibra Schermo"
"pt","image_adjustment","Ajuste"
"se","image_adjustment","Konfiguration"
"de","info_keys_title","Information"
"en","info_keys_title","Information"
"es","info_keys_title","Información"
"fr","info_keys_title","Information"
"it","info_keys_title","Informazioni"
"pt","info_keys_title","Informação"
"se","info_keys_title","Information"
"de","information","Information"
"en","information","Information"
"es","information","Información"
"fr","information","Information"
"it","information","Informazioni"
"pt","information","Informação"
"se","information","Information"
"de","input_latency","Input Latency Frames"
"en","input_latency","Input Latency Frames"
"es","input_latency","Input Latency Frames"
"fr","input_latency","Input Latency Frames"
"it","input_latency","Input Latency Frames"
"pt","input_latency","Input Latency Frames"
"se","input_latency","Antal Förinlästa Bildrutor"
"de","inputlag_fix","Input Lag Reduction"
"en","inputlag_fix","Input Lag Reduction"
"es","inputlag_fix","Mejora de Input Lag"
"fr","inputlag_fix","Input Lag Reduction"
"it","inputlag_fix","Input Lag Reduction"
"pt","inputlag_fix","Input Lag Reduction"
"se","inputlag_fix","Minska Kontrollatens"
"de","installing_update","Installation Update"
"en","installing_update","Installing update"
"es","installing_update","Instalando actualización"
"fr","installing_update","Installation de la mise à jour"
"it","installing_update","Installando Aggiornamento"
"pt","installing_update","Instalando actualização"
"se","installing_update","Installerar Uppdatering"
"it","it","Italiano"
"de","jamma3","JAMMA(3btn)"
"en","jamma3","JAMMA(3btn)"
"es","jamma3","JAMMA(3btn)"
"fr","jamma3","JAMMA(3btn)"
"it","jamma3","JAMMA(3btn)"
"pt","jamma3","JAMMA(3btn)"
"se","jamma3","JAMMA(3btn)"
"de","jamma6","JAMMA(6btn)"
"en","jamma6","JAMMA(6btn)"
"es","jamma6","JAMMA(6btn)"
"fr","jamma6","JAMMA(6btn)"
"it","jamma6","JAMMA(6btn)"
"pt","jamma6","JAMMA(6btn)"
"se","jamma6","JAMMA(6btn)"
"de","Joy Down","Joystick Unten"
"en","Joy Down","Joystick Down"
"es","Joy Down","Palanca Abajo"
"fr","Joy Down","Joystick Bas"
"it","Joy Down","Joystick Giù"
"pt","Joy Down","Joystick Baixo"
"se","Joy Down","Joystick Ned"
"de","Joy Left","Joystick Links"
"en","Joy Left","Joystick Left"
"es","Joy Left","Palanca Izquierda"
"fr","Joy Left","Joystick Gauche"
"it","Joy Left","Joystick Sinistra"
"pt","Joy Left","Joystick Esquerda"
"se","Joy Left","Joystick Vänster"
"de","Joy Right","Joystick Rechts"
"en","Joy Right","Joystick Right"
"es","Joy Right","Palanca Derecha"
"fr","Joy Right","Joystick Droite"
"it","Joy Right","Joystick Destra"
"pt","Joy Right","Joystick Direita"
"se","Joy Right","Joystick Höger"
"de","Joy Up","Joystick Oben"
"en","Joy Up","Joystick Up"
"es","Joy Up","Palanca Arriba"
"fr","Joy Up","Joystick Haut"
"it","Joy Up","Joystick Su"
"pt","Joy Up","Joystick Cima"
"se","Joy Up","Joystick Upp"
"de","joy_map_0","Joy 1"
"en","joy_map_0","Joy 1"
"es","joy_map_0","Joy 1"
"fr","joy_map_0","Joy 1"
"it","joy_map_0","Joy 1"
"pt","joy_map_0","Joy 1"
"se","joy_map_0","Joy 1"
"de","joy_map_1","Joy 2"
"en","joy_map_1","Joy 2"
"es","joy_map_1","Joy 2"
"fr","joy_map_1","Joy 2"
"it","joy_map_1","Joy 2"
"pt","joy_map_1","Joy 2"
"se","joy_map_1","Joy 2"
"de","joy_map_2","Joy 3"
"en","joy_map_2","Joy 3"
"es","joy_map_2","Joy 3"
"fr","joy_map_2","Joy 3"
"it","joy_map_2","Joy 3"
"pt","joy_map_2","Joy 3"
"se","joy_map_2","Joy 3"
"de","joy_map_3","Joy 4"
"en","joy_map_3","Joy 4"
"es","joy_map_3","Joy 4"
"fr","joy_map_3","Joy 4"
"it","joy_map_3","Joy 4"
"pt","joy_map_3","Joy 4"
"se","joy_map_3","Joy 4"
"de","joy_map_4","Joy 5"
"en","joy_map_4","Joy 5"
"es","joy_map_4","Joy 5"
"fr","joy_map_4","Joy 5"
"it","joy_map_4","Joy 5"
"pt","joy_map_4","Joy 5"
"se","joy_map_4","Joy 5"
"de","joy_mapping","JOY MAPPING"
"en","joy_mapping","JOY MAPPING"
"es","joy_mapping","MAPEO DEL MANDO"
"fr","joy_mapping","JOY MAPPING"
"it","joy_mapping","MAPPATURA CONTROLLI"
"pt","joy_mapping","MAPEAMENTO JOYSTICK"
"se","joy_mapping","MAPPNING JOYSTICKS"
"de","key_info","Game Menu:|| G.Menu Btn|| Start+Select|| Start(2s)||Game Focus:|| Scroll Lock Key"
"en","key_info","Game Menu:|| G.Menu Btn|| Start+Select|| Start(2s)||Game Focus:|| Scroll Lock Key"
"es","key_info","Game Menu:|| G.Menu Btn|| Start+Select|| Start(2s)||Game Focus:|| Scroll Lock Key"
"fr","key_info","Game Menu:|| G.Menu Btn|| Start+Select|| Start(2s)||Game Focus:|| Scroll Lock Key"
"it","key_info","Game Menu:|| G.Menu Btn|| Start+Select|| Start(2s)||Game Focus:|| Scroll Lock Key"
"pt","key_info","Game Menu:|| G.Menu Btn|| Start+Select|| Start(2s)||Game Focus:|| Scroll Lock Key"
"se","key_info","Spelmeny:|| Spelmenyknapp || Start+Select|| Start(2s)||Spelfokus:|| Scroll Lock"
"de","keyb_mouse","Keyb+Mouse"
"en","keyb_mouse","Keyb+Mouse"
"es","keyb_mouse","Keyb+Mouse"
"fr","keyb_mouse","Keyb+Mouse"
"it","keyb_mouse","Keyb+Mouse"
"pt","keyb_mouse","Keyb+Mouse"
"se","keyb_mouse","Tgb+mus"
"de","kiosk_mode","Kiosk Mode"
"en","kiosk_mode","Kiosk Mode"
"es","kiosk_mode","Modo Kiosko"
"fr","kiosk_mode","Mode Kiosque"
"it","kiosk_mode","Kiosk Mode"
"pt","kiosk_mode","Modo Kiosque"
"se","kiosk_mode","Kioskläge"
"de","ko_format","Error formatting unit!"
"en","ko_format","Error formatting unit!"
"es","ko_format","Error formateando la unidad!"
"fr","ko_format","Error formatting unit!"
"it","ko_format","Error formatting unit!"
"pt","ko_format","Error formatting unit!"
"se","ko_format","Det gick inte att formattera enheten!"
"de","ko_mnt_files","Error creating files!"
"en","ko_mnt_files","Error creating files!"
"es","ko_mnt_files","Error creando archivos!"
"fr","ko_mnt_files","Error creating files!"
"it","ko_mnt_files","Error creating files!"
"pt","ko_mnt_files","Error creating files!"
"se","ko_mnt_files","Det gick inte att skapa filer!"
"de","ko_mnt_folders","Error creating folders!"
"en","ko_mnt_folders","Error creating folders!"
"es","ko_mnt_folders","Error creando carpetas!"
"fr","ko_mnt_folders","Error creating folders!"
"it","ko_mnt_folders","Error creating folders!"
"pt","ko_mnt_folders","Error creating folders!"
"se","ko_mnt_folders","Det gick inte att skapa mappar!"
"de","ko_mount","Error mounting unit!"
"en","ko_mount","Error mounting unit!"
"es","ko_mount","Error montando la unidad!"
"fr","ko_mount","Error mounting unit!"
"it","ko_mount","Error mounting unit!"
"pt","ko_mount","Error mounting unit!"
"se","ko_mount","Det gick inte att koppla in enheten!"
"de","ko_nas_config","Ungültige NAS Konfiguration"
"en","ko_nas_config","Invalid NAS configuration!"
"es","ko_nas_config","Configuración NAS inválida!"
"fr","ko_nas_config","Configuration NAS invalide!"
"it","ko_nas_config","Configurazione NAS non corretta!"
"pt","ko_nas_config","Configuração NAS inválida!"
"se","ko_nas_config","Ogiltig NAS-konfiguration!"
"de","ko_unit_not_found","Unit not found!"
"en","ko_unit_not_found","Unit not found!"
"es","ko_unit_not_found","Unidad no encontrada!"
"fr","ko_unit_not_found","Unit not found!"
"it","ko_unit_not_found","Unit not found!"
"pt","ko_unit_not_found","Unit not found!"
"se","ko_unit_not_found","Enheten hittades inte!"
"de","kodi","RGBPi-Extra"
"en","kodi","RGBPi-Extra"
"es","kodi","RGBPi-Extra"
"fr","kodi","RGBPi-Extra"
"it","kodi","RGBPi-Extra"
"pt","kodi","RGBPi-Extra"
"se","kodi","RGBPi-Extra"
"de","lang_english","English"
"en","lang_english","English"
"es","lang_english","English"
"fr","lang_english","English"
"it","lang_english","English"
"pt","lang_english","English"
"se","lang_english","English"
"de","lang_french","Français"
"en","lang_french","Français"
"es","lang_french","Français"
"fr","lang_french","Français"
"it","lang_french","Français"
"pt","lang_french","Français"
"se","lang_french","Français"
"de","lang_german","Deutsch"
"en","lang_german","Deutsch"
"es","lang_german","Deutsch"
"fr","lang_german","Deutsch"
"it","lang_german","Deutsch"
"pt","lang_german","Deutsch"
"se","lang_german","Deutsch"
"de","lang_italian","Italiano"
"en","lang_italian","Italiano"
"es","lang_italian","Italiano"
"fr","lang_italian","Italiano"
"it","lang_italian","Italiano"
"pt","lang_italian","Italiano"
"se","lang_italian","Italiano"
"de","lang_portuguese","Português"
"en","lang_portuguese","Português"
"es","lang_portuguese","Português"
"fr","lang_portuguese","Português"
"it","lang_portuguese","Português"
"pt","lang_portuguese","Português"
"se","lang_portuguese","Português"
"de","lang_select","SPRACHE"
"en","lang_select","LANGUAGE"
"es","lang_select","IDIOMA"
"fr","lang_select","LANGUE"
"it","lang_select","LINGUA"
"pt","lang_select","IDIOMA"
"se","lang_select","LANGUAGE"
"de","lang_spanish","Español"
"en","lang_spanish","Español"
"es","lang_spanish","Español"
"fr","lang_spanish","Español"
"it","lang_spanish","Español"
"pt","lang_spanish","Español"
"se","lang_spanish","Español"
"de","lang_swedish","Svenska"
"en","lang_swedish","Svenska"
"es","lang_swedish","Svenska"
"fr","lang_swedish","Svenska"
"it","lang_swedish","Svenska"
"pt","lang_swedish","Svenska"
"se","lang_swedish","Svenska"
"de","language","Sprache"
"en","language","Language"
"es","language","Idioma"
"fr","language","Langue"
"it","language","Lingua"
"pt","language","Language"
"se","language","Language"
"de","leaderboards","Leaderboards"
"en","leaderboards","Leaderboards"
"es","leaderboards","Leaderboards"
"fr","leaderboards","Leaderboards"
"it","leaderboards","Leaderboards"
"pt","leaderboards","Leaderboards"
"se","leaderboards","Topplistor"
"de","lgun_cfg","Light Gun Calibration"
"en","lgun_cfg","Light Gun Calibration"
"es","lgun_cfg","Calibrado Light Gun"
"fr","lgun_cfg","Light Gun Calibration"
"it","lgun_cfg","Light Gun Calibration"
"pt","lgun_cfg","Light Gun Calibration"
"se","lgun_cfg","Kalibrering Av Ljuspistol"
"de","lgun_cfg_info","Pull the TRIGGER to continue"
"en","lgun_cfg_info","Pull the TRIGGER to continue"
"es","lgun_cfg_info","Pulsa el GATILLO para continuar"
"fr","lgun_cfg_info","Pull the TRIGGER to continue"
"it","lgun_cfg_info","Pull the TRIGGER to continue"
"pt","lgun_cfg_info","Pull the TRIGGER to continue"
"se","lgun_cfg_info","Använd AVTRYCKAREN för att fortsätta"
"de","lgun_cfg_info_2","Shoot at the Target!"
"en","lgun_cfg_info_2","Shoot at the Target!"
"es","lgun_cfg_info_2","Dispara al Objetivo!"
"fr","lgun_cfg_info_2","Shoot at the Target!"
"it","lgun_cfg_info_2","Shoot at the Target!"
"pt","lgun_cfg_info_2","Shoot at the Target!"
"se","lgun_cfg_info_2","Träffa Pricktavlan!"
"de","lgun_cfg_title","Lightgun Calibration"
"en","lgun_cfg_title","Lightgun Calibration"
"es","lgun_cfg_title","Lightgun Calibration"
"fr","lgun_cfg_title","Lightgun Calibration"
"it","lgun_cfg_title","Lightgun Calibration"
"pt","lgun_cfg_title","Lightgun Calibration"
"se","lgun_cfg_title","Kalibrering Av Ljuspistol"
"de","lgun_cfg_warn","Warning: Off-Screen"
"en","lgun_cfg_warn","Warning: Off-Screen"
"es","lgun_cfg_warn","Warning: Off-Screen"
"fr","lgun_cfg_warn","Warning: Off-Screen"
"it","lgun_cfg_warn","Warning: Off-Screen"
"pt","lgun_cfg_warn","Warning: Off-Screen"
"se","lgun_cfg_warn","Varning: Utanför Skärmen"
"de","lgun_color_info","For Fake LGun Games"
"en","lgun_color_info","For Fake LGun Games"
"es","lgun_color_info","Para Juegos Fake LGun"
"fr","lgun_color_info","For Fake LGun Games"
"it","lgun_color_info","For Fake LGun Games"
"pt","lgun_color_info","For Fake LGun Games"
"se","lgun_color_info","For Fake LGun Games"
"de","lgun_color_rep","LGun Color Replacement"
"en","lgun_color_rep","LGun Color Replacement"
"es","lgun_color_rep","LGun Reemplazo de Color"
"fr","lgun_color_rep","LGun Color Replacement"
"it","lgun_color_rep","LGun Color Replacement"
"pt","lgun_color_rep","LGun Color Replacement"
"se","lgun_color_rep","LGun Color Replacement"
"de","lgun_p1_error","LGun must be Player1"
"en","lgun_p1_error","LGun must be Player1"
"es","lgun_p1_error","LGun debe ser Player1"
"fr","lgun_p1_error","LGun must be Player1"
"it","lgun_p1_error","LGun must be Player1"
"pt","lgun_p1_error","LGun must be Player1"
"se","lgun_p1_error","Byt Pistol till Player1"
"de","lgun_p2_error","LGun must be Player2"
"en","lgun_p2_error","LGun must be Player2"
"es","lgun_p2_error","LGun debe ser Player2"
"fr","lgun_p2_error","LGun must be Player2"
"it","lgun_p2_error","LGun must be Player2"
"pt","lgun_p2_error","LGun must be Player2"
"se","lgun_p2_error","Byt Pistol till Player2"
"de","lightgun","Light Gun"
"en","lightgun","Light Gun"
"es","lightgun","Light Gun"
"fr","lightgun","Light Gun"
"it","lightgun","Light Gun"
"pt","lightgun","Light Gun"
"se","lightgun","Ljuspistol"
"de","list_mode","Navigation"
"en","list_mode","Navigation"
"es","list_mode","Navegación"
"fr","list_mode","Navigation"
"it","list_mode","Navigation"
"pt","list_mode","Navigation"
"se","list_mode","Navigering"
"de","loading","Laden.."
"en","loading","Loading..."
"es","loading","Cargando..."
"fr","loading","Chargement..."
"it","loading","Caricando..."
"pt","loading","Carregando..."
"se","loading","Laddar..."
"de","loading_info","Laden.."
"en","loading_info","Loading..."
"es","loading_info","Cargando..."
"fr","loading_info","Chargement..."
"it","loading_info","Caricando..."
"pt","loading_info","Carregando..."
"se","loading_info","Laddar..."
"de","locked","Locked"
"en","locked","Locked"
"es","locked","Bloqueado"
"fr","locked","Locked"
"it","locked","Locked"
"pt","locked","Locked"
"se","locked","Stängd"
"de","manual_shutdown","Manuelles Ausschalten"
"en","manual_shutdown","Manual Shutdown"
"es","manual_shutdown","Apagado Manual"
"fr","manual_shutdown","Arrêt manuel"
"it","manual_shutdown","Spegnimento Manuale"
"pt","manual_shutdown","Desligar Manualmente"
"se","manual_shutdown","Stäng Av Manuellt"
"de","menu_toggle","Spielmenü"
"en","menu_toggle","Game Menu"
"es","menu_toggle","Menú de Juego"
"fr","menu_toggle","Mélanger"
"it","menu_toggle","Menù di Gioco"
"pt","menu_toggle","Menu do Jogo"
"se","menu_toggle","Spelmeny"
"de","mix","Mix"
"en","mix","Mix"
"es","mix","Mezcla"
"fr","mix","Mélanger"
"it","mix","Mix"
"pt","mix","Mix"
"se","mix","Mix"
"de","mount_unit","Mount Unit"
"en","mount_unit","Mount Unit"
"es","mount_unit","Montar Unidad"
"fr","mount_unit","Mount Unit"
"it","mount_unit","Mount Unit"
"pt","mount_unit","Mount Unit"
"se","mount_unit","Koppla In Enhet"
"de","mounting_unit","Mounting uni...t"
"en","mounting_unit","Mounting unit..."
"es","mounting_unit","Montando la unidad..."
"fr","mounting_unit","Mounting unit..."
"it","mounting_unit","Mounting unit..."
"pt","mounting_unit","Mounting unit..."
"se","mounting_unit","Kopplar In Enhet..."
"de","move","Move"
"en","move","Move"
"es","move","Mover"
"fr","move","Déplacer"
"it","move","Muovi"
"pt","move","Mover"
"se","move","Rörelse"
"de","ms2930","Nanao MS-2930"
"en","ms2930","Nanao MS-2930"
"es","ms2930","Nanao MS-2930"
"fr","ms2930","Nanao MS-2930"
"it","ms2930","Nanao MS-2930"
"pt","ms2930","Nanao MS-2930"
"se","ms2930","Nanao MS-2930"
"de","music_title","Music Titles"
"en","music_title","Music Titles"
"es","music_title","Títulos Música"
"fr","music_title","Music Titles"
"it","music_title","Titoli Brani"
"pt","music_title","Music Titles"
"se","music_title","Musiktitlar"
"de","mvs","Arcade (MVS)"
"en","mvs","Arcade (MVS)"
"es","mvs","Arcade (MVS)"
"fr","mvs","Arcade (MVS)"
"it","mvs","Arcade (MVS)"
"pt","mvs","Arcade (MVS)"
"se","mvs","Arcade (MVS)"
"de","nas_not_found","Verbindung nicht möglich!"
"en","nas_not_found","Unable to connect!"
"es","nas_not_found","No se pudo conectar!"
"fr","nas_not_found","Impossible de se connecter!"
"it","nas_not_found","Non riesco a connettere!"
"pt","nas_not_found","Não é possível conectar!"
"se","nas_not_found","Det gick inte att koppla in!"
"de","native","Native"
"en","native","Native"
"es","native","Native"
"fr","native","Native"
"it","native","Native"
"pt","native","Native"
"se","native","Ursprunglig"
"de","native_csync","Native CSYNC"
"en","native_csync","Native CSYNC"
"es","native_csync","CSYNC Nativo"
"fr","native_csync","Native CSYNC"
"it","native_csync","Native CSYNC"
"pt","native_csync","Native CSYNC"
"se","native_csync","Ursprunglig CSYNC"
"de","native_screen","Standard"
"en","native_screen","Standard"
"es","native_screen","Estándar"
"fr","native_screen","Standard"
"it","native_screen","Standard"
"pt","native_screen","Standard"
"se","native_screen","Standard"
"de","neogeo","NEO·GEO"
"en","neogeo","NEO·GEO"
"es","neogeo","NEO·GEO"
"fr","neogeo","NEO·GEO"
"it","neogeo","NEO·GEO"
"pt","neogeo","NEO·GEO"
"se","neogeo","NEO·GEO"
"de","neogeo_mode","NEO·GEO Mode"
"en","neogeo_mode","NEO·GEO Mode"
"es","neogeo_mode","NEO·GEO Mode"
"fr","neogeo_mode","NEO·GEO Mode"
"it","neogeo_mode","NEO·GEO Mode"
"pt","neogeo_mode","NEO·GEO Mode"
"se","neogeo_mode","NEO·GEO-läge"
"de","nes_color","NES Palette"
"en","nes_color","NES Palette"
"es","nes_color","Paleta NES"
"fr","nes_color","Palette NES"
"it","nes_color","Palette NES"
"pt","nes_color","Paleta NES"
"se","nes_color","NES-palett"
"de","netplay","Netplay"
"en","netplay","Netplay"
"es","netplay","Netplay"
"fr","netplay","Netplay"
"it","netplay","Netplay"
"pt","netplay","Netplay"
"se","netplay","Netplay"
"de","netplay_mode","Mode"
"en","netplay_mode","Mode"
"es","netplay_mode","Modo"
"fr","netplay_mode","Mode"
"it","netplay_mode","Modalità"
"pt","netplay_mode","Modo"
"se","netplay_mode","Läge"
"de","netplay_server_name","Server"
"en","netplay_server_name","Server"
"es","netplay_server_name","Servidor"
"fr","netplay_server_name","Serveur"
"it","netplay_server_name","Server"
"pt","netplay_server_name","Servidor"
"se","netplay_server_name","Server"
"de","network","Network"
"en","network","Network"
"es","network","Red"
"fr","network","Réseau"
"it","network","Rete"
"pt","network","Rede"
"se","network","Nätverk"
"de","network_retroarch","RetroArch Extra"
"en","network_retroarch","RetroArch Extra"
"es","network_retroarch","RetroArch Extra"
"fr","network_retroarch","RetroArch Extra"
"it","network_retroarch","RetroArch Extra"
"pt","network_retroarch","RetroArch Extra"
"se","network_retroarch","RetroArch Extra"
"de","nfsa","NFS(Local)"
"en","nfsa","NFS(Local)"
"es","nfsa","NFS(Local)"
"fr","nfsa","NFS(Local)"
"it","nfsa","NFS(Local)"
"pt","nfsa","NFS(Local)"
"se","nfsa","NFS(Local)"
"de","nfsb","NFS(Global)"
"en","nfsb","NFS(Global)"
"es","nfsb","NFS(Global)"
"fr","nfsb","NFS(Global)"
"it","nfsb","NFS(Global)"
"pt","nfsb","NFS(Global)"
"se","nfsb","NFS(Global)"
"de","nick","User"
"en","nick","User"
"es","nick","Usuario"
"fr","nick","User"
"it","nick","User"
"pt","nick","User"
"se","nick","Användarnamn"
"de","no_game_info","Spiel nicht gefunden"
"en","no_game_info","Game not found!"
"es","no_game_info","Juego no encontrado!"
"fr","no_game_info","Jeu non trouvé!"
"it","no_game_info","Gioco non trovato!"
"pt","no_game_info","Jogo não encontrado!"
"se","no_game_info","Spelet hittades inte!"
"de","no_gun","Light gun not detected"
"en","no_gun","Light gun not detected"
"es","no_gun","Light gun no detectada"
"fr","no_gun","Light gun not detected"
"it","no_gun","Light gun not detected"
"pt","no_gun","Light gun not detected"
"se","no_gun","Kan inte hitta ljuspistol"
"de","no_native_csync","Not supported"
"en","no_native_csync","Not supported"
"es","no_native_csync","No soportado"
"fr","no_native_csync","Not supported"
"it","no_native_csync","Not supported"
"pt","no_native_csync","Not supported"
"se","no_native_csync","Stöds ej"
"de","no_netplay","No"
"en","no_netplay","No"
"es","no_netplay","No"
"fr","no_netplay","No"
"it","no_netplay","No"
"pt","no_netplay","No"
"se","no_netplay","Nej"
"de","no_rotation","No"
"en","no_rotation","No"
"es","no_rotation","No"
"fr","no_rotation","No"
"it","no_rotation","No"
"pt","no_rotation","No"
"se","no_rotation","Nej"
"de","no_tate","Not allowed in TATE mode"
"en","no_tate","Not allowed in TATE mode"
"es","no_tate","No permitido en modo TATE"
"fr","no_tate","Not allowed in TATE mode"
"it","no_tate","Not allowed in TATE mode"
"pt","no_tate","Not allowed in TATE mode"
"se","no_tate","Kan inte köras i TATE-läget"
"de","none","No Games"
"en","none","No Games"
"es","none","Ningún Juego"
"fr","none","No Games"
"it","none","No Games"
"pt","none","Nenhum Jogo"
"se","none","Inga Spel"
"de","not_supported","Function Not Supported"
"en","not_supported","Function Not Supported"
"es","not_supported","Función No Soportada"
"fr","not_supported","Function Not Supported"
"it","not_supported","Function Not Supported"
"pt","not_supported","Function Not Supported"
"se","not_supported","Funktionen Stöds Ej"
"de","nothing","Nothing"
"en","nothing","Nothing"
"es","nothing","Nada"
"fr","nothing","Rien"
"it","nothing","Nulla"
"pt","nothing","Nada"
"se","nothing","Ingenting"
"de","ntsc_filter","SMS/SMD Tranparencies"
"en","ntsc_filter","SMS/SMD Tranparencies"
"es","ntsc_filter","SMS/SMD Transparencias"
"fr","ntsc_filter","SMS/SMD Tranparencies"
"it","ntsc_filter","SMS/SMD Tranparencies"
"pt","ntsc_filter","SMS/SMD Tranparencies"
"se","ntsc_filter","SMS/SMD Tranparens"
"de","ntsc-hardware-fbx","NTSC"
"en","ntsc-hardware-fbx","NTSC"
"es","ntsc-hardware-fbx","NTSC"
"fr","ntsc-hardware-fbx","NTSC"
"it","ntsc-hardware-fbx","NTSC"
"pt","ntsc-hardware-fbx","NTSC"
"se","ntsc-hardware-fbx","NTSC"
"de","num_games","Games"
"en","num_games","Games"
"es","num_games","Juegos"
"fr","num_games","Jeux"
"it","num_games","Giochi"
"pt","num_games","Jogos"
"se","num_games","Spel"
"de","ok_format","Unit formated successfully"
"en","ok_format","Unit formated successfully"
"es","ok_format","Unidad formateada con éxito"
"fr","ok_format","Unit formated successfully"
"it","ok_format","Unit formated successfully"
"pt","ok_format","Unit formated successfully"
"se","ok_format","Formattering av enheten lyckades"
"de","ok_mount","Unit mounted successfully"
"en","ok_mount","Unit mounted successfully"
"es","ok_mount","Unidad montada con éxito"
"fr","ok_mount","Unit mounted successfully"
"it","ok_mount","Unit mounted successfully"
"pt","ok_mount","Unit mounted successfully"
"se","ok_mount","Enheten inkopplad"
"de","online","Online"
"en","online","Online"
"es","online","Online"
"fr","online","Online"
"it","online","Online"
"pt","online","Online"
"se","online","Online"
"de","only_menu_btn","Game Menu Button"
"en","only_menu_btn","Game Menu Button"
"es","only_menu_btn","Game Menu Button"
"fr","only_menu_btn","Game Menu Button"
"it","only_menu_btn","Game Menu Button"
"pt","only_menu_btn","Game Menu Button"
"se","only_menu_btn","Spelmenyknapp"
"de","options","OPTIONEN"
"en","options","OPTIONS"
"es","options","OPCIONES"
"fr","options","OPTIONS"
"it","options","OPZIONI"
"pt","options","OPÇÕES"
"se","options","INSTÄLLNINGAR"
"de","os_name","System"
"en","os_name","System"
"es","os_name","Sistema"
"fr","os_name","Système"
"it","os_name","Sistema"
"pt","os_name","Sistema"
"se","os_name","System"
"de","os_version","Version"
"en","os_version","Version"
"es","os_version","Versión"
"fr","os_version","Version"
"it","os_version","Versione"
"pt","os_version","Versão"
"se","os_version","Version"
"de","overclock","Overclock"
"en","overclock","Overclock"
"es","overclock","Overclock"
"fr","overclock","Overclock"
"it","overclock","Overclock"
"pt","overclock","Overclock"
"se","overclock","Överklockning"
"de","overclock_ko","CPU not supported"
"en","overclock_ko","CPU not supported"
"es","overclock_ko","CPU no soportada"
"fr","overclock_ko","CPU not supported"
"it","overclock_ko","CPU not supported"
"pt","overclock_ko","CPU not supported"
"se","overclock_ko","Processorn saknar stöd"
"de","overscan","Reduced Overscan"
"en","overscan","Reduced Overscan"
"es","overscan","Reduced Overscan"
"fr","overscan","Reduced Overscan"
"it","overscan","Reduced Overscan"
"pt","overscan","Reduced Overscan"
"se","overscan","Minskad Överskanning"
"de","overscan_info","Use your TV service menu|or potenciometers to|adjust the yellow|borders pointed out by|the arrows until they|are barely visible at|the limits of the|screen.|Make sure there is not|any visible black area.|Do note that some TVs do|not save the customized|parameters in 60Hz."
